🚀 Frontend Amazon Q Style server running on port 3005
📱 Access: http://localhost:3005
🔗 Public: http://bedrock-playground.danielingram.shop
🎯 Backend proxy: localhost:8001
172.31.91.12 - - [30/Jul/2025 04:00:28] "GET / HTTP/1.1" 200 -
172.31.27.253 - - [30/Jul/2025 04:00:28] "GET / HTTP/1.1" 200 -
172.31.91.12 - - [30/Jul/2025 04:00:53] "POST /chat HTTP/1.1" 200 -
172.31.91.12 - - [30/Jul/2025 04:00:58] "GET / HTTP/1.1" 200 -
172.31.27.253 - - [30/Jul/2025 04:00:58] "GET / HTTP/1.1" 200 -
172.31.91.12 - - [30/Jul/2025 04:01:28] "GET / HTTP/1.1" 200 -
172.31.27.253 - - [30/Jul/2025 04:01:28] "GET / HTTP/1.1" 200 -
172.31.91.12 - - [30/Jul/2025 04:01:44] "POST /system-prompt HTTP/1.1" 200 -
172.31.91.12 - - [30/Jul/2025 04:02:00] "POST /chat HTTP/1.1" 200 -
172.31.91.12 - - [30/Jul/2025 04:02:00] "GET / HTTP/1.1" 200 -
172.31.27.253 - - [30/Jul/2025 04:02:00] "GET / HTTP/1.1" 200 -
172.31.91.12 - - [30/Jul/2025 04:02:24] "POST /chat HTTP/1.1" 200 -
172.31.91.12 - - [30/Jul/2025 04:02:28] "GET / HTTP/1.1" 200 -
172.31.27.253 - - [30/Jul/2025 04:02:28] "GET / HTTP/1.1" 200 -
172.31.91.12 - - [30/Jul/2025 04:02:58] "GET / HTTP/1.1" 200 -
172.31.27.253 - - [30/Jul/2025 04:02:58] "GET / HTTP/1.1" 200 -
172.31.91.12 - - [30/Jul/2025 04:03:28] "POST /chat HTTP/1.1" 200 -
172.31.91.12 - - [30/Jul/2025 04:03:28] "GET / HTTP/1.1" 200 -
172.31.27.253 - - [30/Jul/2025 04:03:28] "GET / HTTP/1.1" 200 -
172.31.91.12 - - [30/Jul/2025 04:03:58] "GET / HTTP/1.1" 200 -
172.31.27.253 - - [30/Jul/2025 04:03:58] "GET / HTTP/1.1" 200 -
172.31.91.12 - - [30/Jul/2025 04:04:28] "GET / HTTP/1.1" 200 -
172.31.27.253 - - [30/Jul/2025 04:04:28] "GET / HTTP/1.1" 200 -
172.31.27.253 - - [30/Jul/2025 04:04:56] "GET / HTTP/1.1" 304 -
172.31.27.253 - - [30/Jul/2025 04:04:56] "GET /system-prompt HTTP/1.1" 200 -
172.31.91.12 - - [30/Jul/2025 04:04:58] "GET / HTTP/1.1" 200 -
172.31.27.253 - - [30/Jul/2025 04:04:58] "GET / HTTP/1.1" 200 -
172.31.91.12 - - [30/Jul/2025 04:05:28] "GET / HTTP/1.1" 200 -
172.31.27.253 - - [30/Jul/2025 04:05:28] "GET / HTTP/1.1" 200 -
172.31.91.12 - - [30/Jul/2025 04:05:58] "GET / HTTP/1.1" 200 -
172.31.27.253 - - [30/Jul/2025 04:05:58] "GET / HTTP/1.1" 200 -
172.31.91.12 - - [30/Jul/2025 04:06:28] "GET / HTTP/1.1" 200 -
